class_time,hair_color,animal_choice,sf_resident,car_owner,personality_type,eating_preference ,right_pinky (mm),chin_to_nose (mm),math_success_opinion,letter_grade,response_time (seconds),digit_memory,creative_period,first_semester
Evening,Black,Dogs,Lives in SF,No,Type A,Restaurant,70,95,No,A,288,9,Evening,No
Evening,Brown,Dogs,Lives in SF,No,Type B,Restaurant,57,77,No,A,391,8,After Midnight,No
Evening,Gray,Dogs,Does not live in SF,Yes,Type A,Home,70,67,Yes,A,327,11,Afternoon,No
Evening,Black,Dogs,Lives in SF,Yes,Type A,Restaurant,55.24,73.32,Yes,A,430,10,Early Morning,No
Evening,Black,Dogs,Does not live in SF,Yes,Type B,Home,54,58,Yes,C,310,11,Afternoon,No
Evening,Brown,Other,Does not live in SF,No,Type B,Restaurant,51,73,Yes,B,342,7,After Midnight,No
Evening,Brown,Dogs,Lives in SF,No,Type B,Home,60,85,No,A,889,8,Night,No
Evening,Red,Fish,Lives in SF,Yes,Type A,Restaurant,60,65,Yes,C,327,33,Evening,No
Evening,Brown,Dogs,Does not live in SF,Yes,Type A,Restaurant,65,60,No,A,462,6,Afternoon,No
Evening,Blonde,Dogs,Lives in SF,No,Type A,Restaurant,70,80,Yes,A,323,8,Evening,Yes
Evening,Red,Dogs,Lives in SF,No,Type A,Restaurant,55,65,Yes,A,369,8,After Midnight,No
Evening,Black,Cats,Lives in SF,Yes,Type B,Home,55,70,No,B,645,7,Night,No
Evening,Black,None,Does not live in SF,No,Type B,Home,50,65,No,B,561,9,Evening,No
Evening,Black,Dogs,Does not live in SF,Yes,Type A,Home,67.5,78.99,Yes,A,343,10,Afternoon,Yes
Evening,Black,Cats,Lives in SF,No,Type B,Home,53,80,Yes,A,300,9,Evening,Yes
Evening,Brown,Dogs,Lives in SF,Yes,Type B,Restaurant,62,65,No,A,319,12,Afternoon,Yes
Evening,Black,Dogs,Lives in SF,Yes,Type A,Home,56,82,Yes,B,287,6,Night,Yes
Evening,Black,Dogs,Does not live in SF,Yes,Type A,Restaurant,59,75,No,B,305,8,Afternoon,No
Evening,Black,Dogs,Lives in SF,Yes,Type A,Home,60,63.5,Yes,B,398,9,Afternoon,No
Evening,Black,Dogs,Does not live in SF,Yes,Type A,Home,75,63.5,Yes,B,"3,159",6,Morning,No
Evening,Black,Dogs,Lives in SF,Yes,Type A,Home,50,62,No,B,383,7,Morning,Yes
Evening,Brown,"Other Small Mammals (ferrets, rabbits, hamsters, etc)",Does not live in SF,Yes,Type A,Home,60,65,Yes,A,486,9,Afternoon,Yes
Evening,Black,"Other Small Mammals (ferrets, rabbits, hamsters, etc)",Lives in SF,No,Type A,Home,60,65,No,B,318,9,Night,No
Evening,Black,Dogs,Does not live in SF,Yes,Type B,Home,60,80,No,A,324,7,Afternoon,No
Evening,Brown,Dogs,Lives in SF,Yes,Type A,Home,70,80,No,A,345,8,Afternoon,No
Evening,Brown,"Other Small Mammals (ferrets, rabbits, hamsters, etc)",Does not live in SF,No,Type A,Home,60,65,No,B,568,4,Night,Yes
Evening,Blonde,None,Lives in SF,Yes,Type B,Restaurant,55,75,No,B,304,5,Night,No
Evening,Brown,Cats,Lives in SF,No,Type B,Home,60,90,No,B,354,9,Evening,No
Evening,Brown,Dogs,Does not live in SF,Yes,Type A,Restaurant,65,60,Yes,B,402,5,Morning,No
Evening,Brown,Dogs,Does not live in SF,Yes,Type B,Restaurant,60,80,No,C,453,9,Night,No
Evening,Brown,Dogs,Lives in SF,Yes,Type B,Restaurant,55,70,No,C,283,7,Night,No
Evening,Brown,Dogs,Lives in SF,Yes,Type B,Restaurant,50,60,No,C,505,9,Night,No
Evening,Brown,Dogs,Does not live in SF,Yes,Type A,Home,55,60,Yes,A,350,33,Morning,No
Evening,Brown,Other,Does not live in SF,Yes,Type A,Restaurant,65,70,Yes,A,533,10,After Midnight,No
Evening,Black,Fish,Lives in SF,No,Type B,Home,50,60,No,A,"1,902",8,Afternoon,No
Evening,Black,Dogs,Lives in SF,Yes,Type B,Home,62,70,No,A,"1,272",7,Night,No
Evening,Blonde,Cats,Lives in SF,Yes,Type A,Home,64,70,Yes,A,334,12,Evening,No
Evening,Other,Birds,Lives in SF,Yes,Type A,Home,75,73,Yes,B,453,7,Early Morning,No
Evening,Black,Dogs,Does not live in SF,Yes,Type A,Home,53,70,No,B,511,10,Night,No
Evening,Brown,Dogs,Lives in SF,Yes,Type A,Home,57,65,No,A,346,11,Morning,No
Evening,Brown,Dogs,Does not live in SF,Yes,Type A,Home,60,60,No,A,388,8,Afternoon,No
Evening,Brown,Cats,Lives in SF,No,Type B,Home,75,90,No,A,381,5,Evening,No
