Timestamp,C1: Select the category that contains your birthday.,C3: How would you describe your experience in registering for classes a the City College of San Francisco?,C7: Would you rather...,C4: Pick a street.,C2: How cute is this dog?,C5: What grade do you think you'll get in this class?,C6: Who do you think will win in 2020?,C7: Section
1/15/2020 14:21:51,November 22 - December 21,Somewhat Satisfied,Eat a meal at home?,Army,8,A,Donald Trump,Afternoon
1/15/2020 14:22:23,December 22 - January 19,Somewhat Satisfied,Eat a meal at home?,Army,10,A,Bernie Sanders,Afternoon
1/15/2020 14:22:25,July 23 - August 22,Somewhat Satisfied,Eat a meal at a friend house?,Army,5,B,Michael Bloomberg,Afternoon
1/15/2020 14:22:35,December 22 - January 19,Somewhat Satisfied,Eat a meal at a restaurant?,Army,9,A,Donald Trump,Afternoon
1/15/2020 14:23:07,March 21 - April 19,Somewhat Dissatisfied,Eat a meal at a restaurant?,César Chávez,8,A,Bernie Sanders,Afternoon
1/15/2020 14:23:18,February 19 - March 20,Somewhat Satisfied,Eat a meal at a restaurant?,César Chávez,8,B,Bernie Sanders,Afternoon
1/15/2020 11:18:43,May 21 - June 20,Somewhat Satisfied,Eat a meal at a restaurant?,César Chávez,10,B,Bernie Sanders,Morning
1/15/2020 11:18:52,October 23 - November 21,Very Satisfied,Eat a meal at a restaurant?,César Chávez,8,C,Joe Biden,Morning
1/15/2020 11:18:54,March 21 - April 19,Somewhat Satisfied,Eat a meal at home?,César Chávez,7,A,Elizabeth Warren,Morning
1/15/2020 11:19:05,March 21 - April 19,Somewhat Dissatisfied,Eat a meal at a restaurant?,César Chávez,8,A,Bernie Sanders,Morning
1/15/2020 11:19:06,December 22 - January 19,Somewhat Satisfied,Eat a meal at a restaurant?,César Chávez,10,A,Bernie Sanders,Morning
1/15/2020 11:19:06,September 23 - October 22,Somewhat Satisfied,Eat a meal at a restaurant?,César Chávez,10,B,Elizabeth Warren,Morning
1/15/2020 11:19:06,April 20 - May 20,Very Satisfied,Eat a meal at home?,César Chávez,7,B,Bernie Sanders,Morning
1/15/2020 11:19:06,November 22 - December 21,Somewhat Satisfied,Eat a meal at home?,Army,10,B,Bernie Sanders,Morning
1/15/2020 11:19:08,October 23 - November 21,Somewhat Satisfied,Eat a meal at home?,César Chávez,10,A,Bernie Sanders,Morning
1/15/2020 11:19:10,August 23 - September 22,Very Satisfied,Eat a meal at home?,César Chávez,9,A,Bernie Sanders,Morning
1/15/2020 11:19:11,October 23 - November 21,Very Satisfied,Eat a meal at home?,César Chávez,10,A,Bernie Sanders,Morning
1/15/2020 11:19:11,February 19 - March 20,Very Satisfied,Eat a meal at a restaurant?,César Chávez,9,A,Elizabeth Warren,Morning
1/15/2020 11:19:15,March 21 - April 19,Somewhat Satisfied,Eat a meal at home?,César Chávez,9,B,Joe Biden,Morning
1/15/2020 11:19:17,May 21 - June 20,Somewhat Satisfied,Eat a meal at home?,César Chávez,10,B,Bernie Sanders,Morning
1/15/2020 11:19:21,October 23 - November 21,Somewhat Satisfied,Eat a meal at home?,César Chávez,5,B,Bernie Sanders,Morning
1/15/2020 11:19:25,March 21 - April 19,Very Satisfied,Eat a meal at a restaurant?,César Chávez,10,C,Bernie Sanders,Morning
1/15/2020 11:19:28,January 20 - February 18,Somewhat Satisfied,Eat a meal at a restaurant?,César Chávez,9,B,Donald Trump,Morning
1/15/2020 11:19:31,June 21 - July 22,Very Satisfied,Eat a meal at a restaurant?,César Chávez,10,B,Joe Biden,Morning
1/15/2020 11:19:45,June 21 - July 22,Neutral,Eat a meal at a restaurant?,Army,5,B,Michael Bennet,Morning
1/15/2020 11:19:47,June 21 - July 22,Very Satisfied,Eat a meal at home?,César Chávez,8,B,Bernie Sanders,Morning
1/15/2020 11:19:58,August 23 - September 22,Neutral,Eat a meal at a restaurant?,Army,9,B,Bernie Sanders,Morning
1/15/2020 11:20:01,June 21 - July 22,Somewhat Satisfied,Eat a meal at home?,César Chávez,8,B,Joe Biden,Morning
1/15/2020 11:20:19,November 22 - December 21,Neutral,Eat a meal at home?,César Chávez,10,B,Bernie Sanders,Morning
1/15/2020 11:20:20,July 23 - August 22,Neutral,Eat a meal at a friend house?,Army,8,A,John Delaney,Morning
1/15/2020 11:20:21,February 19 - March 20,Somewhat Satisfied,Eat a meal at a restaurant?,Army,5,A,Andrew Yang,Morning
1/15/2020 11:20:37,January 20 - February 18,Very Satisfied,Eat a meal at home?,César Chávez,8,A,Bernie Sanders,Morning
1/15/2020 11:21:24,November 22 - December 21,Somewhat Satisfied,Eat a meal at home?,César Chávez,5,B,Bernie Sanders,Morning
1/15/2020 11:22:10,May 21 - June 20,Somewhat Satisfied,Eat a meal at a restaurant?,César Chávez,9,A,Bernie Sanders,Morning
1/15/2020 11:22:13,December 22 - January 19,Somewhat Satisfied,Eat a meal at a restaurant?,César Chávez,9,A,Bernie Sanders,Morning
1/15/2020 11:23:17,June 21 - July 22,Very Dissatisfied,Eat a meal at home?,César Chávez,6,A,Bernie Sanders,Morning
1/15/2020 11:23:48,June 21 - July 22,Very Satisfied,Eat a meal at home?,César Chávez,7,A,Bernie Sanders,Morning
1/15/2020 11:24:18,June 21 - July 22,Somewhat Satisfied,Eat a meal at home?,César Chávez,7,B,Donald Trump,Morning
1/15/2020 11:25:27,February 19 - March 20,Somewhat Dissatisfied,Eat a meal at home?,Army,10,B,Bernie Sanders,Morning
1/15/2020 11:26:08,February 19 - March 20,Very Satisfied,Eat a meal at a friend house?,César Chávez,10,B,Bernie Sanders,Morning
1/15/2020 11:26:17,October 23 - November 21,Neutral,Eat a meal at a restaurant?,Army,10,B,Andrew Yang,Morning
1/15/2020 11:26:23,October 23 - November 21,Very Satisfied,Eat a meal at home?,Army,10,A,Andrew Yang,Morning
